Path will need to be corrected once 
imaging is complete
--

Absolute Time	Elapsed Time	Temp 1	Temp 2	Temp 3	Top Temp	Prog Temp 1	Prog Temp 2	File Name
13:09:42.5	0.0	4.85	-99.00	-99.00	4.87	4.63	-99.00	
13:09:43.4	0.9	4.79	-99.00	-99.00	4.81	4.57	-99.00	-
13:09:44.4	1.9	4.76	-99.00	-99.00	4.78	4.53	-99.00	-
13:09:45.4	2.9	4.73	-99.00	-99.00	4.75	4.50	-99.00	-
13:09:46.4	3.9	4.70	-99.00	-99.00	4.71	4.47	-99.00	-
13:09:47.4	4.9	4.67	-99.00	-99.00	4.68	4.43	-99.00	-
13:09:48.4	5.9	4.63	-99.00	-99.00	4.65	4.37	-99.00	pic0001_2589.1_4.70.jpg
13:09:49.4	6.9	4.60	-99.00	-99.00	4.61	4.37	-99.00	-
13:09:50.4	7.9	4.57	-99.00	-99.00	4.57	4.33	-99.00	-
13:09:51.4	8.9	4.53	-99.00	-99.00	4.54	4.30	-99.00	-
13:09:52.4	9.9	4.50	-99.00	-99.00	4.51	4.23	-99.00	pic0001_2589.1_4.70.jpg
13:09:53.4	10.9	4.46	-99.00	-99.00	4.47	4.23	-99.00	-
13:09:54.4	11.9	4.43	-99.00	-99.00	4.43	4.20	-99.00	-
